,query,intent,,
708,payment rejected. reason?,transaction_query,,
709,Please keep me posted on my loan application?? status.,loan_inquiry,,
710,not my doin,fraud_report,,
711,what?? the steps to borrow $$?,loan_inquiry,,
712,what cc tiers u got? how apply?,credi_card_application,,
713,"yo, what info do i need 2 start a credit card aplly?",credi_card_application,,
714,Could you confirm the company for my latest transaction?,transaction_query,,
715,atm fraud alert on my phone,fraud_report,,
716,Can you give me the date and time for the last trans?,transaction_query,,
717,U got home loans n stuff?,loan_inquiry,,
718,last purchse? spill the tea pls,transaction_query,,
719,"i wanna know how to get ma credit card appl reviewed, plz help.",credi_card_application,,
720,"shooting for a loan, what types?",loan_inquiry,,
721,"Yo, what was the timestamp on my last transaction?",transaction_query,,
722,fee ate my rent,fraud_report,,
723,I NEVER made this transaction.,fraud_report,,
724,need $??ow apply?,loan_inquiry,,
725,DID I PAY FOR A SUBSCRIPTION AGAIN,transaction_query,,
726,How do I complete and submit the form for a renovation loan?,loan_inquiry,,
727,what?? ur unsecured loan?,loan_inquiry,,
728,May I request that my qualifications be evaluated for potential loan approval?,loan_inquiry,,
729,Loan application??ow do I get started?,loan_inquiry,,
730,Did the last payment go alright?,transaction_query,,
731,"pw reset link not arriving, pls fix",password_reset,,
732,Did the last one go smoothly or not?,transaction_query,,
733,"Yo, when did my last transaction go through, time and date?",transaction_query,,
734,"What?? up with the last payment, all good?",transaction_query,,
735,cant rember my login??ls reset thx,password_reset,,
736,Would you please furnish me with the necessary details for submitting a loan application?,loan_inquiry,,
737,$200 at BestBuy?? nah that ain?? me??raud!!,fraud_report,,
738,my memory?? trash??ls reset my passwrd,password_reset,,
739,Could you confirm whether I qualify for a salary-backed personal loan?,loan_inquiry,,
740,I need info on loans u offer.,loan_inquiry,,
741,overdraft warning sucks,fraud_report,,
742,do i meet refinance reqs?,loan_inquiry,,
743,fee n neg bal tho,fraud_report,,
744,Did the most recent payment go through smoothly?,transaction_query,,
745,HELP! My account has been hacked!,fraud_report,,
746,someone sent me a bogus check??lmost deposited it!!,fraud_report,,
747,wuz wondering if my loan got reviewed,loan_inquiry,,
748,"yo, got any link for credit card appl?",credi_card_application,,
749,student loan apply??hat?? up?,loan_inquiry,,
750,this is the 10th time??ls reset!!,password_reset,,
751,atm deposit didn?? show but cash left,fraud_report,,
752,pass reset button not working,password_reset,,
753,yall check this out pls,fraud_report,,
754,credit card form not working,credi_card_application,,
755,"$900 AT ""LUXURY BULLSH*T""? I WEAR PAJAMAS TO WALMART??REAT JOB, BANK!!",fraud_report,,
756,"$250 AT ""GOURMET TRASH""? I EAT CEREAL FOR DINNER??EAL FUNNY, THIEVES!!",fraud_report,,
757,I would appreciate confirmation of my eligibility for an automated underwriting loan.,loan_inquiry,,
758,saw suspicious activity??eset pass pls!!,password_reset,,
759,atm says success but no $$,fraud_report,,
760,I?? interested in your agriculture loan offerings.,loan_inquiry,,
761,loan req: wut types?,loan_inquiry,,
762,what?? up with my loan app?,loan_inquiry,,
763,fraudster put a fake check in my acc??elp!!,fraud_report,,
764,smh overdraft af,fraud_report,,
765,"random site says ??ech alert,??my bad?",fraud_report,,
766,sketchy things goin on rn,fraud_report,,
767,"WHO?? ""FASHION EMPIRE""? I SHOP AT DOLLAR TREE??TOP THEFT NOW!!",fraud_report,,
768,Is this even legal??,fraud_report,,
769,yo what loan options do y??ll have?,loan_inquiry,,
770,My entire day is ruined now.,fraud_report,,
771,Was the last one smooth or was there a hiccup?,transaction_query,,
772,Could you kindly confirm the latest developments regarding my loan application?,loan_inquiry,,
773,Would you please explain the application process for your loan programs?,loan_inquiry,,
774,reset password code expired,password_reset,,
775,why?? my card rejectin everything?,transaction_query,,
776,Kindly expedite my password reset request.,password_reset,,
777,Did the last transaction work out fine?,transaction_query,,
778,"Last trans, was it good or nah?",transaction_query,,
779,how?? dey get in!?,fraud_report,,
780,"Can you tell me when my last transaction was, exactly?",transaction_query,,
781,"Scam happnd, plz get my money back.",fraud_report,,
782,sum1 stole my stuff :(,fraud_report,,
783,why?? resetting so complicated?? Just fix it!,password_reset,,
784,cann i update my cc app?,credi_card_application,,
785,"The last trans went okay, right?",transaction_query,,
786,"The last payment, was it good to go?",transaction_query,,
787,Who?? the merchant tied to my last purchase?,transaction_query,,
788,overdraft again?!,fraud_report,,
789,IRS says I owe $$$??dentity theft!!,fraud_report,,
790,Was the last transaction without any errors?,transaction_query,,
791,Please advise on the status of my financing request.,loan_inquiry,,
792,what home loan options?,loan_inquiry,,
793,Please freeze any further check transactions immediately.,fraud_report,,
794,What loan products are available through your bank?,loan_inquiry,,
795,why?? my $$$ go bye-bye?,transaction_query,,
796,I am interested in understanding if I meet your criteria for a loan approval.,loan_inquiry,,
797,I need to change my password following multiple failed attempts.,password_reset,,
798,Which loan terms are available for your various products?,loan_inquiry,,
799,my payment?? MIA??hy?,transaction_query,,
800,password reset page not loadin??hat do??,password_reset,,
801,"Yo, when was my last payment made?",transaction_query,,
802,my spend?? MIA??hy tho?,transaction_query,,
803,loan chk plz,loan_inquiry,,
804,"wanna apply 4 ur credit card, thx",credi_card_application,,
805,can non-cust apply?,loan_inquiry,,
806,"I didn?? buy anything from this store, but it?? showing on my card.",fraud_report,,
807,How do I start the application for a self-employed lending program?,loan_inquiry,,
808,random Chrome extension asking for perms,fraud_report,,
809,What?? the exact date and time of the last purchase I made?,transaction_query,,
810,"yo, what r da latest on ma loan app?",loan_inquiry,,
811,my pin got stolen at atm,fraud_report,,
812,how come my payment didn?? go thru?,transaction_query,,
813,"am i loan ready, or nah?",loan_inquiry,,
814,"Yo, when exactly was my last transaction?",transaction_query,,
815,where do i send loan papers?,loan_inquiry,,
816,my sig?? been copied??raud checks everywhere!!,fraud_report,,
817,your system?? glitchin??eset my pass!!,password_reset,,
818,Please provide me with the current update on my loan application process.,loan_inquiry,,
819,What supporting documents must accompany my loan application?,loan_inquiry,,
820,I?? seeing multiple suspect check items this week.,fraud_report,,
821,Did the last transaction proceed successfully?,transaction_query,,
822,minimum balance to apply?,loan_inquiry,,
823,Please inform me if I satisfy the eligibility requirements for a construction-to-permanent mortgage.,loan_inquiry,,
824,"yo, where?? ma loan app in da process?",loan_inquiry,,
825,"When did I do the last payment, you know?",transaction_query,,
826,I would appreciate urgent assistance resetting my password.,password_reset,,
827,Has my loan request been forwarded to the approval committee?,loan_inquiry,,
828,"WHY?? MY CARD USED AT ""FRAUD EMPIRE""? I?? GOING TO THE MEDIA??IX THIS!!",fraud_report,,
829,my keyboard?? broken??eed pass reset lol,password_reset,,
830,Is this a joke? SAVINGS BALANCE BEFORE I SNAP!,balance_inquiry,,
831,Can you provide details on your graduates??loan forgiveness plans?,loan_inquiry,,
832,Got a loan? How do I appl?,loan_inquiry,,
833,"When did my last trans happen, got the info?",transaction_query,,
834,can my file get a loan nod?,loan_inquiry,,
835,What is the accessible capital in my savings?,balance_inquiry,,
836,Lost funds 2 scam! Urgent assistance needed!,fraud_report,,
837,why?? my recent charge not going thru?,transaction_query,,
838,"They conned me, get back my money, plzz.",fraud_report,,
839,"nvr did this, promise",fraud_report,,
840,What loan plans do you have for debt consolidation?,loan_inquiry,,
841,fee racking up,fraud_report,,
842,"what?? goin on with my loan app, man?",loan_inquiry,,
843,wut info left on my cc form?,credi_card_application,,
844,Could you clarify whether my profile meets your criteria for an invoice-factoring program?,loan_inquiry,,
845,I feel like my account?? being used by someone else!,fraud_report,,
846,Did the previous transaction complete correctly?,transaction_query,,
847,charg no work. why?,transaction_query,,
848,I believe my account has been compromised. What should I do?,fraud_report,,
849,"hey, any progress with my loan app, ya heard?",loan_inquiry,,
850,Did the last one go alright or mess up?,transaction_query,,
851,i overdrafted by 5 bucks,fraud_report,,
852,Did the last transaction finish well?,transaction_query,,
853,Could you forward your loan comparison chart?,loan_inquiry,,
854,"yo, help me kick off my credit card appils, plz.",credi_card_application,,
855,Could you please disclose if I am considered eligible for a loan?,loan_inquiry,,
856,any holds on my cc application?,credi_card_application,,
857,A check appeared on my account that I never issued.,fraud_report,,
858,couldja tell me my balance? much obliged,balance_inquiry,,
859,My balance dropped and I didn?? buy anything!!,fraud_report,,
860,What?? the name of the vendor from my last transaction?,transaction_query,,
861,acc withdrawals i didn?? make??ELP!!,fraud_report,,
862,The last payment??hat?? the company name?,transaction_query,,
863,whatchu offer for loans?,loan_inquiry,,
864,am i able 2 qualify w/my score?,loan_inquiry,,
865,"??our account locked,??msg with call link",fraud_report,,
866,do i come across as loan worthy?,loan_inquiry,,
867,i think i typo?? my password??an?? login,password_reset,,
868,check my latest charge PLS PLS,transaction_query,,
869,Please provide a status update for my pending loan application.,loan_inquiry,,
870,What was the date and time of my last payment?,transaction_query,,
871,Who?? the recipient for my latest account activity?,transaction_query,,
872,Was the last transaction successful as expected?,transaction_query,,
873,"wrote them back, they want $200 gift cards",fraud_report,,
874,The latest charge on my account??hat?? the merchant name?,transaction_query,,
875,"yo, where have my loan app results landed?",loan_inquiry,,
876,Would you confirm my eligibility for a digital-first lending product?,loan_inquiry,,
877,Could you advise whether I qualify for project-bond financing?,loan_inquiry,,
878,Lemme kno ur loan services.,loan_inquiry,,
879,The most recent transaction??hat?? the merchant?,transaction_query,,
880,Could you please guide me through the necessary steps to apply for a credit card?,credi_card_application,,
881,Lost $$ 2 sum scam artist! Refund it!,fraud_report,,
882,acc locked cuz i forgot pass??alp!!,password_reset,,
883,looking 4 capex loan??pply?,loan_inquiry,,
884,need my $ total??u got the info?,balance_inquiry,,
885,"hi there, any news on loan app?",loan_inquiry,,
886,why?? my bank blamin me for bogus bounced checks??,fraud_report,,
887,I would appreciate a procedural overview of how to apply for a loan.,loan_inquiry,,
888,Stop stalling?? NEED MY SAVINGS BALANCE THIS SECOND!,balance_inquiry,,
889,I?? planning a home purchase; what mortgage options are available?,loan_inquiry,,
890,Could you tell me about your online loan application service?,loan_inquiry,,
891,"$400 AT ""GAMING WORLD""? I PLAY SOLITAIRE??IX THIS THEFT!!",fraud_report,,
892,what?? my latest money oopsie,transaction_query,,
893,I am looking to secure a loan and require a detailed explanation of the application process.,loan_inquiry,,
894,reset my banking password ty,password_reset,,
895,Could you please analyze my financial profile to determine if I qualify for a loan?,loan_inquiry,,
896,what?? wrong with my transac? halp,transaction_query,,
897,Can you tell me where my last payment went?,transaction_query,,
898,How do I submit an application for a home equity line of credit?,loan_inquiry,,
899,this not how i roll,fraud_report,,
900,Did the most recent transaction proceed correctly?,transaction_query,,
901,"CHARGES AT 3 AM?? I WAS ASLEEP??RAUD DEPARTMENT, WAKE THE HELL UP!!",fraud_report,,
902,loan application??hat do i do?,loan_inquiry,,
903,Please explain how to apply for an interest-only loan.,loan_inquiry,,
904,this tech guy wants my fingerprint via webcam,fraud_report,,
905,Was the last transaction completed successfully?,transaction_query,,
906,What company name is on my last charge?,transaction_query,,
907,am i loan-worthy in your eyes?,loan_inquiry,,
908,"WHY?? THERE A $1,200 CHARGE TO ""LUXURY CARS""? I DRIVE A 2003 COROLLA!!",fraud_report,,
909,Kindly provide the necessary steps to complete a loan application.,loan_inquiry,,
910,Amazon UK charge?? don?? shop there!!,fraud_report,,
911,tech scammer?? got my card deets!!,fraud_report,,
912,recent transac? hyperventilates,transaction_query,,
913,why u let me go neg?,fraud_report,,
914,want to know my loan status,loan_inquiry,,
915,How do I apply for a loan with a co-applicant?,loan_inquiry,,
916,do i got loan eligibility vibes?,loan_inquiry,,
917,Please advise if my qualifications are sufficient for loan approval by your bank.,loan_inquiry,,
918,"they said they??l clean my comp for $99, scam?",fraud_report,,
919,Wot loans options now?,loan_inquiry,,
920,Was the last one finished properly?,transaction_query,,
921,Who let this payment go through??,fraud_report,,
922,What personal finance loans do you have?,loan_inquiry,,
923,do i have loan potential?,loan_inquiry,,
924,I require assistance due to a forgotten password.,password_reset,,
925,checks clearin from a printer?? didn?? make those!!,fraud_report,,
926,HELP MY MONEY?? GONE!!,fraud_report,,
927,last spend? chokes on coffee,transaction_query,,
928,feels like my info leaked,fraud_report,,
929,atm forced eject but no cash,fraud_report,,
930,Was the last transaction successful without any complications?,transaction_query,,
931,When did my last transaction go down?,transaction_query,,
932,"Yo, when did I make that last payment, can you check?",transaction_query,,
933,check my recent transac rq pls,transaction_query,,
934,recent spend pls i?? losin it,transaction_query,,
935,The latest transaction??hat?? the merchant details?,transaction_query,,
936,shoppin history don?? match,fraud_report,,
937,Was the last one smooth or messed up?,transaction_query,,
938,tell me why my cash gone,fraud_report,,
939,what funding options?,loan_inquiry,,
940,"random support widget on site, hella sus",fraud_report,,
941,why?? my card ghostin my spend?,transaction_query,,
942,Could you walk me through your mortgage and auto loan products?,loan_inquiry,,
943,Everything cool with the last trans?,transaction_query,,
944,Please state the remaining capital in my savings account.,balance_inquiry,,
945,tell me the last thing i bought rn,transaction_query,,
946,pass reset page broke??alp!,password_reset,,
947,dont let them charge more,fraud_report,,
948,any fee 2 apply 4 cc?,credi_card_application,,
949,Was the previous payment successful?,transaction_query,,
950,"pass invalid, need reset asap",password_reset,,
951,Could you detail the remaining assets in my savings account?,balance_inquiry,,
952,"forgot my cred, reset please",password_reset,,
953,May I check my qualification for a medical-practice acquisition loan?,loan_inquiry,,
954,need 2 apply 4 a new card asap,credi_card_application,,
955,The latest purchase??hat?? the payee?? name?,transaction_query,,
956,why?? my card declinin stuff? idk,transaction_query,,
957,recent transction??hy?? it $500??,transaction_query,,
958,not my purshase,fraud_report,,
959,loan status update pls,loan_inquiry,,
960,"Yo, when was the last payment I made?",transaction_query,,
961,in-game purchases I didn?? make??cam!!,fraud_report,,
962,What kinds of financing do you offer?,loan_inquiry,,
963,"got slack DM from ??T team,??i didn?? add em",fraud_report,,
964,is phone # on cc app correct?,credi_card_application,,
965,Could you detail the criteria and steps involved in applying for a loan?,loan_inquiry,,
966,"How d I order a loan application, plz help.",loan_inquiry,,
967,send me loan apply reqs,loan_inquiry,,
968,Would you explain your credit limit determination process?,credi_card_application,,
969,I?? about to combust??HAT?? MY SAVINGS BALANCE?!,balance_inquiry,,
970,What's da method 2 apply 4 a loan?,loan_inquiry,,
971,Was the last action processed properly?,transaction_query,,
972,can i qualify for any loan product here?,loan_inquiry,,
973,Did the last payment finish smoothly?,transaction_query,,
974,card acting up. why?,transaction_query,,
975,Was the previous transaction successful without issues?,transaction_query,,
976,pls refund my $$$??raud!!,fraud_report,,
977,The last place I used my card??hat?? it called?,transaction_query,,
978,my password?? gone??ow 2 make new one??,password_reset,,
979,"password not workin, reset pls",password_reset,,
980,can u just tell me my account balance quick,balance_inquiry,,
981,May I request information on the current stage of my loan application?,loan_inquiry,,
982,"they want my google auth codes, no way",fraud_report,,
983,Who received my most recent payment?,transaction_query,,
984,The most recent spend??hat?? the vendor name?,transaction_query,,
985,Could you explain how to apply for a salary-backed personal loan?,loan_inquiry,,
986,why card say no?,transaction_query,,
987,what?? that $ charge i don?? recognize,transaction_query,,
988,paid ??ech support??€?hey scammed me!!,fraud_report,,
989,how did i go neg?,fraud_report,,
990,This is beyond frustrating.,fraud_report,,
991,Can you let me know the date and time of the last payment?,transaction_query,,
992,fee popped up wtf,fraud_report,,
993,The latest account activity??hat?? the merchant?,transaction_query,,
994,Please share the essential steps required to begin a loan application.,loan_inquiry,,
995,do i fit ur holiday loan plan?,loan_inquiry,,
996,Is it possible my account was used without me knowing?,fraud_report,,
997,Kindly report the existing savings account balance.,balance_inquiry,,
998,"hey, can u let me know the process for a credit card appl?",credi_card_application,,
999,May I inquire if I qualify for disaster relief financing?,loan_inquiry,,
1000,What student financing plans are offered?,loan_inquiry,,
1001,Was the most recent transaction successful without error?,transaction_query,,
1002,Can you outline the steps to apply for an agricultural equipment lease?,loan_inquiry,,
1003,can u tell me my balance? i?? hopeless,balance_inquiry,,
1004,what types of debt help?,loan_inquiry,,
1005,charge from uk?? bruh im in texas,fraud_report,,
1006,What loan service u got?,loan_inquiry,,
1007,account status: ??? enlighten me,balance_inquiry,,
1008,Please reset my password and ensure my account remains secure.,password_reset,,
1009,Can you confirm whether my loan application has been processed?,loan_inquiry,,
1010,"saw call from 1-800-IT-HELP, is that legit?",fraud_report,,
1011,"need to apply for loan, help?",loan_inquiry,,
1012,what commercial loan kills?,loan_inquiry,,
1013,IVR apply for credit card?,credi_card_application,,
1014,I?? like to know which loan options are available for customers.,loan_inquiry,,
1015,who?? editin my checks? Amounts don?? match!!,fraud_report,,
1016,anything new on my loan?,loan_inquiry,,
1017,"This scam stole my funds, help me!",fraud_report,,
1018,have u checked my loan req?,loan_inquiry,,
1019,Who received the funds from my most recent transaction?,transaction_query,,
1020,"They fooled me??elp fix it, pls!",fraud_report,,
1021,fraud happened i guess?,fraud_report,,
1022,"""yo, how much money is left in my accnt?""",balance_inquiry,,
1023,what?? ur lending portfolio?,loan_inquiry,,
1024,Something sketchy is going on.,fraud_report,,
1025,card said nope. reason?,transaction_query,,
1026,Did the last trans finish okay?,transaction_query,,
1027,my card?? got charges i don?? recognize,fraud_report,,
1028,Can u giv loan alternatives?,loan_inquiry,,
1029,got a fraud alert??hat?? goin on??,fraud_report,,
1030,card declin??hats the drama?,transaction_query,,
1031,whyd my last transactoin get declinded?,transaction_query,,
1032,dang charged OD fee,fraud_report,,
1033,my pass might be leaked??eset it pls!!,password_reset,,
1034,I am reaching out to obtain an update on my loan application status.,loan_inquiry,,
1035,"ths aint me, fr",fraud_report,,
1036,Could you kindly send detailed guidelines on how to complete your credit card application form?,credi_card_application,,
1037,How do I request a credit card application package by mail?,credi_card_application,,
1038,wtf overdraft fee,fraud_report,,
1039,I think someone is using my card without permission.,fraud_report,,
1040,Can I get the name of the vendor from my last spend?,transaction_query,,
1041,"What was the time of my last transaction, you know?",transaction_query,,
1042,I wish to reset my password to enhance security.,password_reset,,
1043,why?? my spend bounce? clueless rn,transaction_query,,
1044,halp??ass reset required.,password_reset,,
1045,I would like to hear about any recent updates on my loan request.,loan_inquiry,,
1046,The most recent spend??hat?? the merchant name?,transaction_query,,
1047,"hey, what?? happenin with ma loan app?",loan_inquiry,,
1048,Wot steps 2 apply 4 a loan?,loan_inquiry,,
1049,this not my purshasin style,fraud_report,,
1050,Did the transaction go through as expected without problems?,transaction_query,,
1051,what?? the number? points at account,balance_inquiry,,
1052,A check processed while my checkbook was locked.,fraud_report,,
1053,this ??echGadgets??charge??otal scam!!,fraud_report,,
1054,"Yo, this dude wants me to dl remote access, feels sus.",fraud_report,,
1055,i aint got cash lol,fraud_report,,
1056,I am requesting a new login password; kindly help.,password_reset,,
1057,phone number not recognized??ant reset!!,password_reset,,
1058,I would appreciate assistance in understanding the credit card application process.,credi_card_application,,
1059,What is the remaining principal in my savings?,balance_inquiry,,
1060,Could you review my current standings and advise if I qualify for a loan?,loan_inquiry,,
1061,"Do you offer auto loans, and if so, what are they?",loan_inquiry,,
1062,Could you elucidate the necessary procedures for initiating a loan application?,loan_inquiry,,
1063,Can you confirm whether my loan application is still under review?,loan_inquiry,,
1064,"hey, i wanna apply 4 a credit card, how?",credi_card_application,,
1065,Can you tell me the time of my last transaction?,transaction_query,,
1066,I?? like to review your loan product lineup.,loan_inquiry,,
1067,Are you even trying? SAVINGS. TOTAL. NOW.,balance_inquiry,,
1068,how do i file a loan app?,loan_inquiry,,
1069,cancel da card now,fraud_report,,
1070,May I request any new information regarding the status of my loan application?,loan_inquiry,,
1071,"Hey, can you check the date and time of my last transaction?",transaction_query,,
1072,I?? losing faith here??HAT?? IN MY SAVINGS?!,balance_inquiry,,
1073,Was the last payment completed correctly?,transaction_query,,
1074,Who?? listed as the merchant for my last payment?,transaction_query,,
1075,Was the transaction successful without any issues?,transaction_query,,
1076,why?? my statement full of ??? charges,fraud_report,,
1077,I?? about to explode??OW MUCH IS IN SAVINGS?!,balance_inquiry,,
1078,loan review update?,loan_inquiry,,
1079,Retrieve funds stolen by scam artist.,fraud_report,,
1080,why?? my last payment fail? ugh,transaction_query,,
1081,transacshun? panics in millennial,transaction_query,,
1082,Are you ignoring my requests? SAVINGS. NOW.,balance_inquiry,,
1083,Was the recent transaction successful?,transaction_query,,
1084,Can u show me the loan application process?,loan_inquiry,,
1085,Was that last transaction smooth?,transaction_query,,
1086,u got my loan docs?,loan_inquiry,,
1087,I?? like an overview of both secured and unsecured loans.,loan_inquiry,,
1088,i need ta check how much mony i have thx,balance_inquiry,,
1089,Can you confirm the retained funds in my savings?,balance_inquiry,,
1090,how much i got left? cries internally,balance_inquiry,,
1091,"When exactly was my last payment made, you know?",transaction_query,,
1092,I would appreciate your help resetting my password.,password_reset,,
1093,EMERGENCY??RAUD CHARGES!!,fraud_report,,
1094,why?? my biz checks bein used after i closed it??,fraud_report,,
1095,Please outline the security measures in place during the online application.,credi_card_application,,
1096,do i measure up 2 score a loan?,loan_inquiry,,
1097,Could you detail the process for conditional pre-approval of a loan?,loan_inquiry,,
1098,nevr seen dis store name,fraud_report,,
1099,How do I go abt applyin 4 a loan?,loan_inquiry,,
1100,I been ripped off! Give me my money bk.,fraud_report,,
1101,I am writing to follow up on the status of my loan application.,loan_inquiry,,
1102,Who?? the vendor for my most recent purchase?,transaction_query,,
1103,Could you provide an overview of your credit facilities?,loan_inquiry,,
1104,transac said ??OL NOPE??€?hy?,transaction_query,,
1105,cannot withdraw now,fraud_report,,
1106,Was the last transaction a yes or a no?,transaction_query,,
1107,Could you please confirm whether I qualify for a loan?,loan_inquiry,,
1108,"any scoop on my loan app, mate?",loan_inquiry,,
1109,weird charges showin up,fraud_report,,
1110,Was that last thing legit or did it mess up?,transaction_query,,
1111,I discovered a back-dated check that wasn?? mine.,fraud_report,,
1112,"yo, need details on how 2 do a credit card appl.",credi_card_application,,
1113,Please direct me to the password reset page.,password_reset,,
1114,my bank acc?? throwin a tantrum??elp!!,fraud_report,,
1115,i even forgot my mom?? maiden name??eset!,password_reset,,
1116,May I inquire about the specific requirements and whether I satisfy them for a loan?,loan_inquiry,,
1117,do i pass muster 4 a loan?,loan_inquiry,,
1118,"hey, need instructions for credit card appl",credi_card_application,,
1119,loan app info??here?,loan_inquiry,,
1120,"Can you tell me when my last payment was, exactly?",transaction_query,,
1121,Not mine. Never heard of this store.,fraud_report,,
1122,Did that last thing go through without a problem?,transaction_query,,
1123,The latest charge??hat company was involved?,transaction_query,,
1124,Did you misplace my money? SAVINGS BALANCE NOW!,balance_inquiry,,
1125,I need a secure link to reset my password; please send it.,password_reset,,
1126,"When exactly did I make the last payment, got that info?",transaction_query,,
1127,"Yo, can you check when my last transaction was?",transaction_query,,
1128,Please inform me whether I qualify for a paycheck-alternative loan.,loan_inquiry,,
1129,This is stressful and unprofessional.,fraud_report,,
1130,account $ amount??pill the tea pls,balance_inquiry,,
1131,Can you check the time and date of my last transaction?,transaction_query,,
1132,freeze my acc before it?? empty!!,fraud_report,,
1133,Kindly assist me in generating a new password.,password_reset,,
1134,Who endorsed check #2100 on 04/10?,fraud_report,,
1135,"your PC at risk, dial this number, idc",fraud_report,,
1136,latest payment info PLS AND THX,transaction_query,,
1137,checkin acc balance??ls tell me thx,balance_inquiry,,
1138,check theft from my porch??raud!!,fraud_report,,
1139,I am interested in determining if I meet the requirements for a peer-to-peer lending arrangement.,loan_inquiry,,
1140,this app bugging or fraud?,fraud_report,,
1141,What assistance loans exist for energy-efficient home improvements?,loan_inquiry,,
1142,I need information on your line of credit services.,loan_inquiry,,
1143,why?? my transacshun bounce? smh,transaction_query,,
1144,"Oh no, I just noticed money missing. I think it?? fraud.",fraud_report,,
1145,Could you confirm the recipient for my latest charge?,transaction_query,,
1146,"CHARGES TO ""MYSTERY CLOWNS""? I?? THE JOKE HERE??IX THIS CIRCUS NOW!!",fraud_report,,
1147,Was the most recent transaction successful without complications?,transaction_query,,
1148,last spend deets PLS PLS PLS,transaction_query,,
1149,will i qlify 4 personal loan?,loan_inquiry,,
1150,this whole thing off,fraud_report,,
1151,what?? my latest financial oof,transaction_query,,
1152,"hey, can u update me if my loan app?? been actioned?",loan_inquiry,,
1153,Was the last transaction processed as expected?,transaction_query,,
1154,"yo, any news on my loan app upd8?",loan_inquiry,,
1155,"atm keypad prob, someone watched",fraud_report,,
1156,"my password?? wrong, resend reset",password_reset,,
1157,Who?? listed as the payee for my latest charge?,transaction_query,,
1158,This check number doesn?? match any written by me.,fraud_report,,
1159,I?? panicking! There?? a huge charge I didn?? authorize!,fraud_report,,
1160,aint my type a buyin,fraud_report,,
1161,Stop taking my money!!,fraud_report,,
1162,Kindly provide a breakdown of my savings account holdings.,balance_inquiry,,
1163,pw reset but no confirmation,password_reset,,
1164,am i seen as loan ready?,loan_inquiry,,
1165,Was the last one clean or did it glitch?,transaction_query,,
1166,dude asked me to type netstat in cmd,fraud_report,,
1167,Was the previous payment made successfully?,transaction_query,,
1168,can i see loan options?,loan_inquiry,,
1169,Pretty sure someone else is using my card,fraud_report,,
1170,check my purchse HISTORY?? LAST,transaction_query,,
1171,bruh my wallet still w me,fraud_report,,
1172,my bal?? below zero??,fraud_report,,
1173,paid for ??oftware??that doesn?? exist!!,fraud_report,,
1174,my acc?? bein robbed??ELP!!,fraud_report,,
1175,Was the previous payment smooth or problematic?,transaction_query,,
1176,How do I roll up a loan application?,loan_inquiry,,
1177,someone?? usin my card for Uber??top it!!,fraud_report,,
1178,fake invoice paid??ls get my $$$ back!!,fraud_report,,
1179,Did the last transaction complete without problems?,transaction_query,,
1180,I am experiencing difficulty accessing my account and need a password reset.,password_reset,,
1181,latest payment??id i get hacked??,transaction_query,,
1182,Are you serious right now??,fraud_report,,
1183,Can you give me the details on the date and time of my last trans?,transaction_query,,
1184,resett my pass ASAP??cc locked!!,password_reset,,
1185,my loot bounced??hy tho?,transaction_query,,
1186,"I didn?? make this payment, why?? it here??",fraud_report,,
1187,Was the last transaction completed without any trouble?,transaction_query,,
1188,I?? in a panic??OW MUCH IS IN MY SAVINGS ACCOUNT?!,balance_inquiry,,
1189,urgent!! need 2 reset my banking pass,password_reset,,
1190,can u reset my bank pw?,password_reset,,
1191,Can you tell me the timestamp of my last trans?,transaction_query,,
1192,"$800 AT ""DIAMOND STORES""? I?? ON FOOD STAMPS??HAT KIND OF SCAM IS THIS??",fraud_report,,
1193,Did the last transaction process correctly?,transaction_query,,
1194,"What was the date and time of my last payment, you got that info?",transaction_query,,
1195,charg bounced??hy bruh?,transaction_query,,
1196,help b4 more damage plz,fraud_report,,
1197,Can you give me the time and date for the last payment I made?,transaction_query,,
1198,bogus check from ??ecret admirer??€?cam!!,fraud_report,,
1199,"When was my last payment, exactly?",transaction_query,,
1200,Was the last one successful or a failure?,transaction_query,,
1201,"Was legit scammed, get my $$ bak!",fraud_report,,
1202,your site?? buggin??ls reset my pass!!,password_reset,,
1203,Was the last transaction completed as intended?,transaction_query,,
1204,my pass feels compromised??ls change it,password_reset,,
1205,Did the last trans complete okay?,transaction_query,,
1206,"Yo, did the last one work out fine?",transaction_query,,
1207,Do you offer disaster relief lending?,loan_inquiry,,
1208,can i refi my home here?,loan_inquiry,,
1209,"Last one, no issues, right?",transaction_query,,
1210,Did you forget how to read? SAVINGS BALANCE IMMEDIATELY!,balance_inquiry,,
1211,why?? my dead grandma?? checks bein cashed??,fraud_report,,
1212,Did the last payment go thru or what?,transaction_query,,
1213,May I understand your minimum credit score requirements for application?,credi_card_application,,
1214,Please send me a verification code to reset my password.,password_reset,,
1215,"Lemme kno loan options, man.",loan_inquiry,,
1216,"still no reset email, resend",password_reset,,
1217,"hey support, what loans r available?",loan_inquiry,,
1218,I??e been waiting forever??UST SHOW ME MY SAVINGS!,balance_inquiry,,
1219,"hey, any word on dat loan app I submitted?",loan_inquiry,,
1220,how to ask for 10k limit?,credi_card_application,,
1221,Can you give me the time and date for my most recent trans?,transaction_query,,
1222,why?? they say no to my payment?,transaction_query,,
1223,Was the transaction completed without any difficulties?,transaction_query,,
